host_id,host_since,host_location,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
39943105,2015-07-29,"Paris, Ile-de-France, France",0,1,1,1
9527566,2013-10-20,"Paris, Ile-de-France, France",0,1,1,1
40527438,2015-08-04,"Paris, Ile-de-France, France",0,1,1,1
79530365,2016-06-23,"Paris, Ile-de-France, France",0,1,1,1
41928433,2015-08-19,"Paris, Ile-de-France, France",0,1,1,1
81886852,2016-07-05,"Paris, Ile-de-France, France",0,1,1,1
2613879,2012-06-12,"Paris, Ile-de-France, France",0,1,1,1
15011685,2014-05-02,"Paris, Ile-de-France, France",0,1,1,1
77101205,2016-06-11,"Paris, Ile-de-France, France",0,1,1,1
6038515,2013-04-22,"Paris, Ile-de-France, France",0,1,1,1
28451433,2015-02-27,"Paris, Ile-de-France, France",0,1,1,1
31416332,2015-04-17,"Paris, Ile-de-France, France",0,1,1,1
52867594,2015-12-31,"Paris, Ile-de-France, France",0,1,1,1
9157096,2013-10-01,"Paris, Ile-de-France, France",0,1,1,1
18460117,2014-07-20,"Paris, Ile-de-France, France",0,1,1,1
18333241,2014-07-18,"Paris, Ile-de-France, France",0,1,1,1
124852037,2017-04-08,"Paris, Ile-de-France, France",0,1,1,1
127811801,2017-04-27,"Paris, Ile-de-France, France",0,1,1,1
18704207,2014-07-23,"Paris, Ile-de-France, France",0,1,1,1
22788779,2014-10-21,"Paris, Ile-de-France, France",0,1,1,1
138698101,2017-07-05,"Paris, Ile-de-France, France",0,1,1,1
77648995,2016-06-14,"Paris, Ile-de-France, France",0,1,1,1
10021123,2013-11-14,"Paris, Ile-de-France, France",0,1,1,1
28623256,2015-03-02,"Paris, Ile-de-France, France",0,1,1,1
8151095,2013-08-14,"Paris, Ile-de-France, France",0,1,1,1
36158582,2015-06-18,"Paris, Ile-de-France, France",0,1,1,1
12430239,2014-02-20,"Paris, Ile-de-France, France",0,1,1,1
9552112,2013-10-21,"Paris, Ile-de-France, France",0,1,1,1
17978035,2014-07-11,"Paris, Ile-de-France, France",0,1,1,1
8976281,2013-09-21,"Paris, Ile-de-France, France",0,1,1,1
19795188,2017-11-21,"Paris, Ile-de-France, France",0,1,1,1
8403809,2013-08-26,"Paris, Ile-de-France, France",0,1,1,1
14059609,2014-04-08,"Paris, Ile-de-France, France",0,1,1,1
